Epoch,Accuracy,TrainLoss
899,87.5,0.575911
900,93.75,0.181258
901,93.75,0.329077
902,100,0.0207049
903,87.5,0.185051
904,100,0.0677309
905,100,0.0480401
906,100,0.10477
907,87.5,0.260831
908,93.75,0.105027
909,93.75,0.281916
910,100,0.0978358
911,100,0.0487944
912,81.25,0.594715
913,93.75,0.189833
914,87.5,0.286526
915,81.25,0.306475
916,87.5,0.468192
917,87.5,0.259315
918,93.75,0.179696
919,87.5,0.367033
920,87.5,0.271058
921,100,0.196449
922,87.5,0.33194
923,62.5,0.972918
924,93.75,0.09725
925,81.25,0.720508
926,93.75,0.179694
927,93.75,0.1827
928,100,0.127132
929,93.75,0.25445
930,100,0.106709
931,87.5,0.237823
932,100,0.0689122
933,93.75,0.181353
934,100,0.0116408
935,100,0.0470995
936,93.75,0.298416
937,93.75,0.106885
938,93.75,0.22287
939,100,0.101217
940,93.75,0.127567
941,100,0.0414552
942,93.75,0.360768
943,100,0.0393102
944,100,0.0126563
945,81.25,0.7504
946,100,0.149094
947,100,0.113116
948,81.25,0.398014
949,87.5,0.264286
950,93.75,0.169153
951,93.75,0.0885996
952,93.75,0.11442
953,81.25,0.654037
954,93.75,0.252204
955,93.75,0.328062
956,93.75,0.154057
957,100,0.0417899
958,100,0.0726049
959,93.75,0.234149
960,93.75,0.160158
961,93.75,0.239717
962,93.75,0.149178
963,87.5,0.424126
964,93.75,0.174196
965,87.5,0.328548
966,100,0.0259364
967,93.75,0.23071
968,93.75,0.169935
969,87.5,0.5101
970,81.25,0.32356
971,87.5,0.286638
972,100,0.122493
973,93.75,0.152306
974,100,0.0503606
975,100,0.0916509
976,87.5,0.291112
977,100,0.0560432
978,100,0.0215707
979,100,0.0375768
980,93.75,0.137843
981,100,0.0520663
982,93.75,0.0831156
983,93.75,0.171158
984,75,0.572466
985,87.5,0.26392
986,81.25,0.400655
987,81.25,0.415479
988,100,0.0983672
989,100,0.0321958
990,93.75,0.167631
991,81.25,0.490164
992,93.75,0.193601
993,87.5,0.347595
994,87.5,0.340271
995,93.75,0.194597
996,100,0.0382098
997,87.5,0.876967
998,100,0.0481232
999,100,0.108652
1000,87.5,0.369224
1001,93.75,0.215829
1002,93.75,0.24042
1003,75,1.13102
1004,93.75,0.0799212
1005,93.75,0.0930005
1006,93.75,0.099954
1007,93.75,0.21595
1008,100,0.0813444
1009,93.75,0.190956
1010,93.75,0.110412
1011,100,0.0382322
1012,100,0.0661417
1013,93.75,0.272796
1014,93.75,0.106828
1015,100,0.00917953
1016,100,0.0275989
1017,93.75,0.149028
1018,87.5,0.213872
1019,100,0.1161
1020,93.75,0.0800553
1021,100,0.0459316
1022,100,0.0848172
1023,100,0.013844
1024,93.75,0.206475
1025,100,0.0458779
1026,93.75,0.112794
1027,93.75,0.112757
1028,87.5,0.48561
1029,93.75,0.174087
1030,100,0.0768786
1031,87.5,0.594065
1032,93.75,0.104617
1033,93.75,0.0679495
1034,93.75,0.149775
1035,93.75,0.129752
1036,87.5,0.530304
1037,93.75,0.0818542
1038,100,0.0742254
1039,100,0.0124861
1040,93.75,0.122672
1041,100,0.144491
1042,93.75,0.349985
1043,93.75,0.18967
1044,100,0.115992
1045,87.5,0.423636
1046,100,0.0801971
1047,93.75,0.201263
1048,93.75,0.308219
1049,87.5,0.275748
1050,93.75,0.232649
1051,100,0.0626137
1052,93.75,0.146189
1053,100,0.0487863
1054,100,0.100056
1055,93.75,0.30685
1056,93.75,0.170374
1057,93.75,0.224131
1058,93.75,0.194053
1059,93.75,0.201512
1060,93.75,0.161125
1061,93.75,0.230471
1062,81.25,0.412235
1063,93.75,0.176005
1064,87.5,0.499358
1065,93.75,0.122813
1066,93.75,0.162088
1067,100,0.0497465
1068,93.75,0.243433
1069,100,0.0581265
1070,93.75,0.399506
1071,93.75,0.201681
1072,100,0.0124094
1073,100,0.00644799
1074,100,0.0860829
1075,87.5,0.254428
1076,93.75,0.112662
1077,87.5,0.456469
1078,100,0.152279
1079,100,0.0357237
1080,100,0.0118966
1081,93.75,0.15984
1082,100,0.061195
1083,100,0.0345304
1084,100,0.0109017
1085,100,0.0289687
1086,93.75,0.166326
1087,87.5,0.144883
1088,93.75,0.385713
1089,87.5,0.425552
1090,100,0.0269818
1091,100,0.0466426
1092,93.75,0.109283
1093,93.75,0.199574
1094,81.25,0.550985
1095,100,0.0548929
1096,100,0.0535948
1097,87.5,0.648086
1098,93.75,0.112213
1099,93.75,0.211173
1100,81.25,0.806372
1101,100,0.0445634
1102,93.75,0.10286
1103,100,0.0881135
1104,93.75,0.183439
1105,100,0.0827942
1106,87.5,0.293564
1107,81.25,0.478093
1108,87.5,0.285257
1109,81.25,0.502001
1110,100,0.0389496
1111,87.5,0.493868
1112,100,0.0144528
1113,87.5,0.340613
1114,75,0.52312
1115,93.75,0.169207
1116,100,0.0363314
1117,87.5,0.273613
1118,100,0.0168489
1119,93.75,0.26059
1120,87.5,0.246615
1121,93.75,0.096622
1122,87.5,0.351695
1123,87.5,0.322193
1124,100,0.0145518
1125,93.75,0.2659
1126,87.5,0.438467
1127,93.75,0.197286
1128,100,0.0264099
1129,93.75,0.299692
1130,100,0.0243026
1131,93.75,0.154808
1132,93.75,0.643308
1133,100,0.0494079
1134,87.5,0.217602
1135,93.75,0.076929
1136,93.75,0.318083
1137,100,0.042404
1138,100,0.0207905
1139,93.75,0.102793
1140,100,0.0569144
1141,100,0.0952682
1142,100,0.0115765
1143,100,0.0394186
1144,93.75,0.274146
1145,100,0.0310036
1146,93.75,0.313495
1147,87.5,0.643453
1148,100,0.0287496
1149,100,0.0661157
1150,93.75,0.216339
1151,100,0.0742591
1152,93.75,0.273284
1153,93.75,0.149765
1154,100,0.0387673
1155,100,0.0245511
1156,87.5,0.406542
1157,81.25,0.354117
1158,100,0.0636118
1159,93.75,0.0518878
1160,100,0.0276256
